Item ThaiSchool ThaiAbridgeName ENG.Abridge SATITGAME
1 สาธิตเกษตร สมก  KUS YES
2 สาธิตเกษตรกําแพงแสน กพส KUSK YES
3 สาธิตขอนแก่น สมข. KKUDS YES
4 สาธิตมข.หนองคาย มข.นค. NKKU YES
5 สาธิตจุฬาประถม จฬป CUDE YES
6 สาธิตจุฬามัธยม จฬม CUDS YES
7 สาธิตเชียงใหม่ สมช. CMUD YES
8 สาธิตเชียงใหม่ประถม สมช.อ.ป.  CMUDSITPC YES
9 สาธิตนเรศวร สมน NUD YES
10 สาธิตพะเยา สมพ DSUP YES
11 สาธิตบูรพา พ.มบ. PBU YES
12 สาธิตมหาสารคามประถม ปสธ MUDS YES
13 สาธิตมหาสารคามมัธยมสมค DMSU YES
14 สาธิตรามประถม มรป RAM YES
15 สาธิตรามมัธยม สธมร DSRU YES
16 สาธิตศิลปากรประถม ปศก EDSU YES
17 สาธิตศิลปากร สมศก DSU YES
18 สาธิตปทุมวัน ปทว PDS YES
19 สาธิตประสานมิตรประถม ปสป PSP YES
20 สาธิตประสานมิตรมัธยม สปสม SPSM YES
21 สาธิตมศวองครักษ์ อคร ODS YES
22 สาธิตสงขลานครินทร์ประถม สมอ PPDS YES
23 สาธิตสงขลา สาธิตม.อ. SATITPSU YES
